ID	Verbatim
1	I love using 2.3 because it's convenient and extremely user friendly.  It's also familiar to me because i've been a customer for a long time.
2	fast 
3	Nothing to complain about
4	too many ads and pop-ups.  too busy graphically
5	ABCD 2.3 is easy to use.
6	no reason I'm just satisfied, no complaints.
7	had no delay in getting connected
8	fast, easy to use
9	loose connection quite often. was able to keep an internet connection
10	I got on line pretty fast with no delays.
11	Easy to use
12	JUST LIKE 2.3
13	Financial reasons. Way too many junk e-mails
14	I did not get booted off and it was fast. Sometimes it is extremey slow. 
15	No problems dialing up. It did not disconect when I was on line. 
16	faster downloads today
17	got information that I needed.
18	Recently every time I try to go on-line I can only get to step 5 and after a few minutes I receive a message that I could not connect and try again.  When I try again I finally get connected. This is very frustrating.  Help.
19	quick connection/ease of use
20	I find it very user friendly
21	Ease of opertion, quickness of screens, mail is easy touse.
22	Did everything I needed to do in minimal amount of time
23	cable & internet & phone line all in one for less. ease of use
24	I was able to get online and stay online without be kicked off. I also like the speed and ease that 2.3 allows me to move around.
25	THERE WAS NO PROBLEMS OF ANY KIND DURING MY LAST VISIT
26	was fast and that is what I need....Fast service
27	It was easy to get online..no delays.
28	I got on, did what I needed to do in a time efficient manor, and got off quickly.
29	I had no probems(I knew what I was doing on this visit)
30	The people are always very polite & helpful.
31	I use EFGD and I think it is very expensive. I like the mail and other features but not the price that I have to pay along with my cable access. I use the e-mail a lot and it is very easy to use. 
32	money issue
33	Because I was able to connect fast and navigate well while I was online.
34	I can find everything i want.
35	many, many popups. pop ups, buddy list not appearing, connection lost  etc.
36	It is very easy to use. And I have not had problems with accessing anything.
37	quick connect. no problems. good news. good side bar access to other areas.
38	cant afford it at this time of year. just got on to check my email...
39	I need faster access,and cable would provide that.
40	too many disconnects.  very slow downloads & page load ups compared to other services.
41	I could log on to the internet.  I could find what I wanted to find.
42	bad experiance with phone operator in nov. she didn't take down information given to her on phone and caused a big inconvenence. Had a lot of problems using ABCD 2.3 in the last few months.
43	found what I was looking for
44	I constantly have problems with being disconnected and receive a lot of unwanted/offensive mail.
45	Because I am just starting to use a computer and it is very friendly user. The only problem I find is it isn't easy to bring up pictures.
46	Too much spam mail and no way to control it.
47	I kept getting disconnected...after about 12 attempts I finally got connected and stayed online :) I am now happy. when trying to get online...I'm cut off as soon as I get connected..when going to look for web sites...I get disconnected.  I pay for a monthly service that I don't get
48	everythin is relatively easy to do
49	the ways ABCD wants me to pay it is very difficult for someone with no credit cards and who dont want to use their checking account.. why not, i could do what i wanted to do, look up whatever
50	Easy to go online with ABCD, not too many pop up ads,, and everything is very convient,,
51	Logged on quickly
52	i must admit ABCD is very easy to use.
53	High speed internet through another provider. It was fine. No problems.
54	it freezes sometimes. But I guess the experience was mediocre.
55	ABCD 2.3 is very easy to use each time you come online. getting to expensive,going to switch to other provider
56	ABCD offers a better mail system and the key words which make ABCD a preferable place. there are so many services that offer the online experience at lower prices  i called to cancel once and was talked into keeping ABCD only to have a billing nightmare  i was assured that things had changed and i am willing to give it one more chance
57	The newest version of 2.3 is really user friendly. The price of internet service is high, for the continued intruption with the dial up mode.  Not to mention the time is takes to download things from the web.
58	couldn't access web pages. price
59	everything was just how it always is---no surprises. Like the news and channels I could get to.
60	 slow 
61	- connection has worsened. web pages take a lot more   time to load. - 23.95/mth  is too expensive. I use ABCD to    connect to the net,   and don't need all the extras that are offered.
62	was able to have my problems very well taken care off
63	it was easy for me to find what i was looking for and if i need help i could just go to the keyword and it helped me with everything that i needed
64	to slow and had a problem with error with the games and web sites
65	slow and get knocked off alot
66	All I did was check my email.  It is very simple and easy to do on ABCD.  Everything is labeled well and you don't even need instruction on how to delete, read, save etc. your email.  With some online companies I couldn't even find a place to type in a web address.  ABCD is very east to use.  That is why I love it. 
67	easy to find web sites
68	to expensive
69	No disconnections and the ability to move around the program with very little confusion.
70	Had no problems getting to the links I wanted.
71	Easy to use just as usual
72	easy use
73	It was quick and gave me the information I needed. expensive
74	ABCD helped me keep  my account open while I am under finicial stress!
75	I use primarily for e-mail and your set up for receiving and managing e-mail is definately the easiest to use above every other service I've tried. because high speed ABCD isn't available in my area
76	I GOT A GOOD REPLAY
77	I didn't get disconnected and was able to read my emails
78	the early morning news pop ups are very informative.i also had no problems logging in with the early morning rush of people.
79	The Price $30 is to high
80	Just looking up some Information I needed, did not spend long on ABCD.
81	I am lowly satisfied with the slowness of getting on line.
82	because was easy to conect and is much better to get on line.
83	my favorites does not work.
84	Found what I was looking and was able to set up mobile alarts with ease. I was able to get online via dial up without re-dialing. To me, that's satisfactory.
85	Found a cheaper dial up service.
86	Log ons BUSY SPEED is SLOW and NO Local Numbers (I have to BUY Metro)
87	i took care of what i came on to do
88	HARDLEY NO POP UPS AND EASY TO UNDER STAND INS. price
89	price too high and only have one number in area to choose from. took several attempts to get online
90	IT WAS NOT TO BAD POP UPS ARE ANNOYING
91	limited use
92	able to connect and play games. cost
93	Email readily available & was able to respond to it with no problems
94	smooth sailing
95	found a website I had been searching for
96	Everything went smoothly. But have been getting e-mail from unkown addresses which I delete and not open.
97	I was able to connect. 
98	I was not disconnected
99	i got on quickly, took care of my correspondence, browsed around awhile, and learned a few things in the process.
100	I had no problems
101	ABCD 2.3 is not as fast as it's supposed to be. I can't access it with one click, as was promised. My address book is slower and has less room.
102	he helped with the password, cause we could not sign on.
103	NOT SURE I SPEND A LOT OF TIME ONLINE A FEW HOURS A DAY AND HAVE ALWAYS HAD GOOD LUCK WITH ABCD
104	Cause i found what i was looking for
105	  There were no inconviences, but for one pop up(someone trying to pick me up online),other than that one thing, everything went fine.
106	WENT SMOOTH
107	2.3 is usually smooth but there are WAY too many Pop Ups and I get SO MUCH unsolicited email...Porn Emails need to be zapped.
108	received info needed
109	Keeps on locking up and i was getting knocked off at 7am in the morning.
110	billing hassle
111	It was quick and easy to check my e-mail.
112	Because i had no problem connecting to ABCD.
113	didn't get kicked off, though did have trouble dialing in first time
114	I am always satisfied with ABCD. I would work there if I could!
115	speed of conection was good and service is great.
116	Got fast responce to my search
117	I got done what I needed to get done.
118	No problems. Did not get bumped off.
119	Price is too high. I also don't like being bumped off after minimal inactivity.
120	Cost too much.  Poor customer service.  Unable to understand the c.s. reps, good site content. Slow
122	I just needed to check my email and I got it done in a hurry, that's always good!
123	I checked my mail and my checking account.  It was fast and easy
124	ease of use
125	price
126	because tech support always answer my questions
127	i had an earlier problem with getting cut off line every time i got on so i called and they talked me through the steps and its been great ever since.
128	eazy to use 
129	i do not wish to pay any more for internet access. 
130	cost
131	no problems
132	just very user friendly and easy to use
133	Too much advertising and I received many E-mails promoting sexual advertising! Too much advertising!!!!!!!!!!!!!
134	found stuff easily. not needed
135	I am planning to relocate to another state and would therefore have to cancel my ABCD, but will be subscribing again, as soon as possible. The information I needed was easy to obtain.
136	I have cable internet. easy to navigate
137	Used ABCD 2.3 at my work to check mail and send mail to friends.
138	I have no intion to cancel my membership.
139	Not too many unwanted ads
140	Already paying for a cable access. no problems
141	I was able to find what I was looking for in timely  manner. 
142	It's so easy to use. due to an offer from our cable company.
143	IT WAS FINE
144	came on to check email - program seems to work fine 
145	Had trouble connecting & with Disconnects.
146	I got booted 2 times which happens often 
147	i enjoy the news 
148	easy to use
149	I am having trouble with a reoccuring window error and no one can help me fix it.  I did not have this trouble with my old ISP.
150	enjoyed chatting with family & friends & enjoy playing games
151	It's very easy to log on and off, And if i have a problem they e-mail me in a matter of minutes
152	EVERYTHING I NEED IS ON 2.3
153	No problems
154	I got on, checked my email, everything worked.
155	fairly rapid resposes. pop-up ads cont. even though they have been turned off, and too much junk mail, even though it should have been blocked
156	I was able to complete my work without any interruptions
157	poor service and poor internet service always getting booted. regular booting and freezing
158	 good customer service. because I can not afford my finance very tight .
159	i didn't get kicked off
160	I got to do and know what I wanted in a minimum length of time with no problems
161	I keep getting disconnected and I have a hard tim connecting alot of times
162	ABCD 2.3 was fast today.
163	I always find what I want on line.  ABCD is extremely easy to use.  
164	no unexpected delays
165	Cos I had mail.  I like the Message Boards, and they were up and running properly!
166	My buddy list did not appear when I signed on. I made various unsuccessful efforts to access it. Then, after I had been online for about an hour, it finally popped up by itself.
167	It worked quickly and gave me no problems
168	Everything went O.K.
169	did not have any problems
170	I did not get kicked off.
171	Everything went well.
172	no problems went through fast no waiting
173	because i didnt get kicked off
174	got me to site quickly and got information I needed.
175	I retrieved my mail quickly
176	its slow
177	i was not knocked out
178	PRICE ALWAYS GETTING KNOCKED OFF VERY SLOW. VERY SLOW
179	did not get booted off
180	because it cost to much for me
181	works fine and had no problems.
182	Although I don't usually run into it, it took three dial-ups to get connected. Also sree speed was slower than usual.
183	I got everything done that I wanted to do.
184	just like the ease of ABCD
185	Found a cable conection witch is faster than ABCD.
186	I like the ease of using the email, the buddy contact and user friendly way of checking on stock, news etc
187	no problems
188	Because they gave me a solution to a problem with the computer.
189	FAMILIAR WITH ABCD 2.3
190	Everything went smoothly and I got what I needed.
191	no problems found what I was looking for.
192	Had no problems with the service
193	it has slowed down a lot, and it is more expensive.  
194	I do like the set up, but I am unhappy with the speed and the fact that I receive errors.
195	customer service not as good as ik can be
196	needed to reboot my machine since ABCD 2.3 took up too much memory space (and my computer is 2 weeks old!!!). too expensive, too slow.
197	I wasn't very satisfied with my last visit, because I couldn't retrieve any of the websites that I was told (by s friends) on the internet. 
